Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
666,  100, 400, 600, 800, 626, 0, 0, 0
1587, 44, 2, 0, 36, 3449, 0, 0, 0
1607, 44, 2, 0, 37, 3465, 0, 0, 0
1628, 44, 1, 0, 36, 3486, 0, 0, 0
1638, 44, 2, 0, 36, 3498, 0, 0, 0
1668, 44, 2, 0, 38, 3523, 0, 0, 0
1678, 44, 1, 0, 37, 3535, 0, 0, 0
1688, 44, 2, 0, 37, 3548, 0, 0, 0
1709, 44, 2, 0, 37, 3568, 0, 0, 0
1724, 44, 1, 0, 38, 3581, 0, 0, 0
1744, 44, 1, 0, 37, 3601, 0, 0, 0
1755, 44, 1, 0, 37, 3615, 0, 0, 0
1770, 44, 2, 0, 37, 3632, 0, 0, 0
1790, 44, 1, 0, 36, 3648, 0, 0, 0
1811, 44, 2, 0, 36, 3666, 0, 0, 0
1826, 44, 1, 0, 37, 3682, 0, 0, 0
1842, 45, 1, 0, 37, 3699, 0, 0, 0
1857, 44, 1, 0, 37, 3719, 0, 0, 0
1872, 44, 2, 0, 37, 3731, 0, 0, 0
1893, 45, 1, 0, 38, 3751, 0, 0, 0
1908, 44, 1, 0, 40, 3765, 0, 0, 0
1924, 44, 2, 0, 40, 3783, 0, 0, 0
1939, 44, 1, 0, 40, 3800, 0, 0, 0
1954, 45, 1, 0, 39, 3816, 0, 0, 0
1974, 44, 3, 0, 41, 3834, 0, 0, 0
1989, 45, 1, 0, 41, 3849, 0, 0, 0
2004, 44, 3, 0, 42, 3865, 0, 0, 0
2025, 45, 2, 0, 42, 3884, 0, 0, 0
2040, 44, 2, 0, 42, 3898, 0, 0, 0
2056, 45, 2, 0, 40, 3914, 0, 0, 0
2076, 45, 2, 0, 40, 3937, 0, 0, 0
2092, 45, 2, 0, 39, 3952, 0, 0, 0
2102, 44, 1, 0, 40, 3964, 0, 0, 0
2122, 44, 2, 0, 40, 3981, 0, 0, 0
2143, 44, 1, 0, 39, 3999, 0, 0, 0
2158, 44, 2, 0, 40, 4015, 0, 0, 0
2173, 44, 1, 0, 40, 4032, 0, 0, 0
2189, 44, 2, 0, 40, 4048, 0, 0, 0
2204, 44, 2, 0, 40, 4066, 0, 0, 0
2225, 44, 2, 0, 39, 4082, 0, 0, 0
2240, 44, 1, 0, 40, 4098, 0, 0, 0
2255, 44, 1, 0, 40, 4115, 0, 0, 0
2271, 44, 1, 0, 40, 4131, 0, 0, 0
2286, 45, 2, 0, 40, 4149, 0, 0, 0
2307, 44, 2, 0, 40, 4165, 0, 0, 0
2327, 45, 2, 0, 40, 4184, 0, 0, 0
2341, 45, 2, 0, 40, 4199, 0, 0, 0
2357, 45, 1, 0, 40, 4215, 0, 0, 0
2372, 44, 1, 0, 40, 4232, 0, 0, 0
2387, 44, 2, 0, 39, 4248, 0, 0, 0
2403, 44, 1, 0, 40, 4269, 0, 0, 0
2423, 44, 1, 0, 39, 4282, 0, 0, 0
2439, 45, 2, 0, 41, 4298, 0, 0, 0
2454, 44, 2, 0, 40, 4315, 0, 0, 0
2475, 44, 1, 0, 40, 4336, 0, 0, 0
2490, 44, 2, 0, 40, 4348, 0, 0, 0
2510, 44, 1, 0, 41, 4368, 0, 0, 0
2521, 44, 2, 0, 41, 4386, 0, 0, 0
2536, 44, 2, 0, 41, 4398, 0, 0, 0
2556, 44, 2, 0, 42, 4415, 0, 0, 0
2572, 44, 2, 0, 41, 4431, 0, 0, 0
