Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
315588, 0, 0, 57, 61, 443, 0, 0, 0
2332, 0, 0, 60, 60, 4153, 0, 0, 0
2348, 0, 0, 60, 60, 4175, 0, 0, 0
2419, 0, 0, 58, 62, 4239, 0, 0, 0
2429, 0, 0, 60, 60, 4252, 0, 0, 0
2455, 0, 1, 60, 61, 4275, 0, 0, 0
2464, 0, 0, 60, 59, 4286, 0, 0, 0
2485, 0, 1, 60, 61, 4305, 0, 0, 0
2500, 0, 1, 60, 62, 4324, 0, 0, 0
2526, 0, 0, 59, 60, 4345, 0, 0, 0
2531, 0, 0, 60, 62, 4354, 0, 0, 0
2551, 0, 0, 59, 62, 4374, 0, 0, 0
2567, 0, 0, 59, 61, 4389, 0, 0, 0
2582, 0, 0, 60, 61, 4402, 0, 0, 0
2603, 0, 0, 59, 61, 4422, 0, 0, 0
2613, 0, 0, 59, 60, 4437, 0, 0, 0
2633, 0, 0, 60, 61, 4454, 0, 0, 0
2649, 0, 0, 59, 59, 4470, 0, 0, 0
2663, 0, 0, 60, 62, 4487, 0, 0, 0
2683, 0, 0, 59, 62, 4507, 0, 0, 0
2694, 0, 0, 59, 60, 4527, 0, 0, 0
2714, 0, 0, 60, 61, 4541, 0, 0, 0
2714, 0, 0, 60, 61, 4569, 0, 0, 0
2760, 0, 0, 61, 62, 4592, 0, 0, 0
2781, 0, 0, 60, 63, 4601, 0, 0, 0
2796, 0, 1, 60, 64, 4619, 0, 0, 0
2811, 0, 0, 60, 63, 4641, 0, 0, 0
2832, 0, 0, 59, 62, 4653, 0, 0, 0
2847, 0, 0, 59, 62, 4681, 0, 0, 0
2863, 0, 0, 59, 61, 4687, 0, 0, 0
2882, 0, 0, 60, 61, 4706, 0, 0, 0
2903, 0, 1, 59, 63, 4722, 0, 0, 0
2918, 0, 0, 60, 61, 4739, 0, 0, 0
2933, 0, 0, 59, 62
, 4754, 0, 0, 0
2949, 0, 0, 61, 64, 4771, 0, 0, 0
2964, 0, 1, 60, 61, 4790, 0, 0, 0
2984, 0, 0, 60, 62, 4807, 0, 0, 0
3005, 0, 0, 60, 61, 4824, 0, 0, 0
3015, 0, 0, 61, 62, 4837, 0, 0, 0
3031, 0, 0, 59, 61, 4855, 0, 0, 0
3051, 0, 1, 60, 61, 4873, 0, 0, 0
3066, 0, 0, 60, 60, 4888, 0, 0, 0
3086, 0, 0, 59, 63, 4905, 0, 0, 0
3096, 0, 0, 59, 64
, 4933, 0, 0, 0
3122, 0, 0, 60, 62, 4960, 0, 0, 0
3163, 0, 0, 59, 62, 4984, 0, 0, 0
3178, 0, 0, 60, 61, 5001, 0, 0, 0
3198, 0, 0, 61, 65, 5021, 0, 0, 0
3214, 0, 0, 60, 62, 5036, 0, 0, 0
3229, 0, 0, 61, 62, 5055, 0, 0, 0
3255, 0, 0, 59, 64, 5072, 0, 0, 1
3265, 0, 0, 60, 60, 5086, 0, 0, 1
3290, 0, 1, 59, 62, 5110, 0, 0, 1
3305, 0, 0, 60, 61, 5128, 0, 0, 1
3320, 0, 0, 59, 60, 5148, 0, 0, 1
3341, 0, 0, 60, 61, 5162, 0, 0, 1
3356, 0, 1, 60, 62, 5180, 0, 0, 1
3377, 0, 0, 60, 63, 5197, 0, 0, 1
3387, 0, 1, 59, 65, 5212, 0, 0, 1
3418, 0, 1, 60, 62, 5238, 0, 0, 1
3423, 0, 0, 59, 61, 5245, 0, 0, 1
3443, 0, 0, 60, 62, 5263, 0, 0, 1
3464, 0, 0, 59, 59, 5285, 0, 0, 1
3479, 0, 0, 61, 60, 5302, 0, 0, 1
3499, 0, 0, 59, 59, 5320, 0, 0, 1
3514, 0, 0, 60, 60, 5336, 0, 0, 1
3529, 0, 1, 59, 61, 5352, 0, 0, 1
3550, 0, 0, 59, 62, 5371, 0, 0, 1
3570, 0, 0, 60, 61, 5388, 0, 0, 1
3580, 0, 0, 59, 61, 5404, 0, 0, 1
3596, 0, 0, 60, 61, 5422, 0, 0, 1
3611, 0, 0, 59, 61, 5443, 0, 0, 1
3627, 0, 0, 59, 61, 5459, 0, 0, 1
3647, 0, 0, 59, 61, 5470, 0, 0, 1
3667, 0, 0, 59, 60, 5489, 0, 0, 1
3678, 0, 1, 59, 62, 5502, 0, 0, 1
3697, 0, 2, 60, 61, 5523, 0, 0, 1
3707, 0, 0, 60, 59, 5539, 0, 0, 1
3733, 0, 0, 59, 61, 5556, 0, 0, 1
3743, 0, 0, 59, 62, 5569, 0, 0, 1
3764, 0, 0, 59, 61, 5585, 0, 0, 1
3779, 0, 1, 59, 61, 5608, 0, 0, 1
3794, 0, 0, 59, 61, 5619, 0, 0, 1
3820, 0, 0, 60, 61, 5639, 0, 0, 1
3835, 0, 0, 61, 61, 5654, 0, 0, 1
3851, 0, 0, 60, 62, 5674, 0, 0, 1
3861, 0, 0, 59, 61, 5687, 0, 0, 1
3880, 0, 1, 60, 62, 5702, 0, 0, 1
3896, 0, 0, 60, 62, 5720, 0, 0, 1
3916, 0, 1, 60, 60, 5738, 0, 0, 1
3927, 0, 1, 59, 63, 5756, 0, 0, 1
3947, 0, 0, 59, 63, 5773, 0, 0, 1
3968, 0, 0, 59, 61, 5788, 0, 0, 1
3978, 0, 0, 61, 61, 5803, 0, 0, 1
3983, 0, 0, 60, 61, 5822, 0, 0, 1
4008, 0, 0, 59, 60, 5843, 0, 0, 1
4034, 0, 0, 60, 63, 5860, 0, 0, 1
4049, 0, 2, 59, 61, 5875, 0, 0, 1
4070, 0, 0, 60, 62, 5892, 0, 0, 1
4084, 0, 0, 59, 62, 5910, 0, 0, 1
4105, 0, 0, 60, 60, 5926, 0, 0, 1
4120, 0, 0, 61, 61, 5941, 0, 0, 1
4135, 0, 0, 60, 60, 5960, 0, 0, 1
4156, 0, 1, 61, 60, 5977, 0, 0, 1
4171, 0, 0, 61, 61, 5996, 0, 0, 1
4192, 0, 1, 61, 62, 6011, 0, 0, 1
4207, 0, 0, 61, 59, 6029, 0, 0, 1
4222, 0, 0, 60, 61, 6046, 0, 0, 1
4238, 0, 0, 61, 61, 6064, 0, 0, 1
4258, 0, 1, 61, 61, 6079, 0, 0, 1
4273, 0, 0, 61, 62, 6095, 0, 0, 1
4288, 0, 0, 61, 61, 6113, 0, 1, 1
4303, 0, 0, 60, 63, 6130, 0, 1, 1
4319, 0, 2, 61, 62, 6146, 0, 1, 1
4339, 0, 0, 61, 62, 6163, 0, 1, 1
4360, 0, 0, 60, 61, 6180, 0, 1, 1
4375, 0, 0, 61, 61, 6196, 0, 1, 1
4385, 0, 1, 60, 62, 6212, 0, 1, 1
4406, 0, 0, 60, 63, 6231, 0, 1, 1
4426, 0, 0, 60, 62, 6247, 0, 1, 1
4442, 0, 0, 61, 61, 6262, 0, 1, 1
4457, 0, 1, 61, 61, 6279, 0, 1, 1
4472, 0, 1, 60, 62, 6298, 0, 1, 1
4487, 0, 1, 59, 62, 6312, 0, 1, 1
4507, 0, 0, 59, 61, 6330, 0, 1, 1
4523, 0, 0, 62, 62, 6346, 0, 1, 1
4538, 0, 0, 60, 61, 6363, 0, 1, 1
4553, 0, 0, 61, 62, 6380, 0, 1, 1
4574, 0, 0, 59, 61, 6397, 0, 1, 1
4589, 0, 0, 60, 61, 6413, 0, 1, 1
4604, 0, 0, 61, 61, 6430, 0, 1, 1
4620, 0, 0, 61, 63, 6445, 0, 1, 1
4635, 0, 1, 61, 63, 6463, 0, 1, 1
4656, 0, 1, 60, 63, 6479, 0, 1, 1
4675, 0, 2, 61, 63, 6496, 0, 1, 1
4690, 0, 0, 60, 63, 6512, 0, 1, 1
4706, 0, 0, 60, 63, 6539, 0, 1, 1
4721, 0, 0, 61, 62, 6548, 0, 1, 1
4737, 0, 1, 59, 62, 6563, 0, 1, 1
4757, 0, 1, 59, 61, 6582, 0, 1, 1
4772, 0, 0, 62, 64, 6596, 0, 1, 1
4788, 0, 1, 63, 62, 6612, 0, 1, 1
4808, 0, 2, 61, 61, 6631, 0, 1, 1
4824, 0, 0, 60, 63, 6647, 0, 1, 1
4839, 0, 1, 61, 62, 6662, 0, 1, 1
4859, 0, 0, 60, 62, 6681, 0, 1, 1
4875, 0, 1, 60, 65, 6698, 0, 1, 1
4889, 0, 1, 61, 63, 6712, 0, 1, 1
4904, 0, 1, 60, 64, 6730, 0, 1, 1
4925, 0, 0, 59, 64, 6748, 0, 1, 1
4940, 0, 0, 60, 63, 6763, 0, 1, 1
4956, 0, 0, 61, 64, 6783, 0, 1, 1
4971, 0, 0, 61, 63, 6798, 0, 1, 1
4986, 0, 0, 61, 64, 6813, 0, 1, 1
5007, 0, 0, 62, 63, 6830, 0, 1, 1
5022, 0, 0, 60, 63, 6846, 0, 1, 1
5043, 0, 0, 61, 65, 6863, 0, 1, 1
5053, 0, 0, 61, 65, 6880, 0, 1, 1
5073, 0, 0, 61, 66, 6898, 0, 1, 1
5093, 0, 0, 61, 62, 6913, 0, 1, 1
5103, 0, 1, 59, 64, 6929, 0, 1, 1
5118, 0, 0, 60, 64, 6948, 0, 1, 1
5139, 0, 0, 61, 63, 6963, 0, 1, 1
5154, 0, 2, 60, 64, 6986, 0, 1, 1
5175, 0, 1, 60, 65, 6996, 0, 1, 1
5190, 0, 0, 62, 64, 7014, 0, 1, 1
5200, 0, 0, 60, 65, 7029, 0, 1, 1
5221, 0, 0, 60, 64, 7048, 0, 1, 1
5236, 0, 0, 60, 63, 7063, 0, 1, 1
5257, 0, 0, 60, 63, 7081, 0, 1, 1
5272, 0, 0, 62, 65, 7097, 0, 1, 1
5287, 0, 2, 60, 64, 7113, 0, 1, 1
5307, 0, 0, 59, 64, 7131, 0, 1, 1
5322, 0, 0, 60, 64, 7147, 0, 1, 1
5343, 0, 0, 60, 63, 7166, 0, 1, 1
5358, 0, 0, 60, 64, 7181, 0, 1, 1
5379, 0, 0, 61, 64, 7201, 0, 1, 1
5394, 0, 0, 60, 65, 7220, 0, 1, 1
5404, 0, 1, 61, 64, 7237, 0, 1, 1
5425, 0, 0, 59, 64, 7251, 0, 1, 1
5445, 0, 0, 60, 65, 7268, 0, 1, 1
5466, 0, 0, 61, 63, 7288, 0, 1, 1
5485, 0, 0, 60, 66, 7306, 0, 1, 1
5495, 0, 1, 62, 64, 7320, 0, 1, 1
5506, 0, 0, 59, 63, 7334, 0, 1, 1
5531, 0, 0, 61, 66, 7350, 0, 1, 1
5547, 0, 0, 60, 65
, 7369, 0, 1, 1
5562, 0, 0, 60, 65, 7385, 0, 1, 1
5577, 0, 1, 60, 65, 7401, 0, 1, 1
5593, 0, 0, 60, 64, 7427, 0, 1, 1
5613, 0, 0, 60, 65, 7438, 0, 1, 1
5634, 0, 0, 62, 65, 7455, 0, 1, 1
5649, 0, 1, 62, 64, 7472, 0, 1, 1
5664, 0, 0, 61, 64, 7489, 0, 1, 1
5685, 0, 1, 59, 65, 7506, 0, 1, 1
5699, 0, 0, 61, 65, 7524, 0, 1, 1
5714, 0, 1, 62, 65, 7542, 0, 1, 1
5735, 0, 2, 62, 66, 7557, 0, 1, 1
5750, 0, 0, 61, 64, 7574, 0, 1, 1
5771, 0, 0, 61, 65, 7596, 0, 1, 1
5781, 0, 1, 61, 65, 7608, 0, 1, 1
5801, 0, 0, 60, 64, 7623, 0, 1, 1
5822, 0, 0, 60, 63, 7643, 0, 1, 1
5827, 0, 0, 62, 65, 7657, 0, 1, 1
5848, 0, 2, 61, 64, 7673, 0, 1, 1
5863, 0, 0, 61, 65, 7690, 0, 1, 1
5878, 0, 0, 60, 64, 7706, 0, 1, 1
5894, 0, 0, 62, 64, 7724, 0, 1, 1
5918, 0, 1, 60, 65, 7739, 0, 1, 1
5934, 0, 0, 62, 62, 7757, 0, 1, 1
5944, 0, 0, 61, 62, 7778, 0, 1, 1
5975, 0, 1, 61, 66, 7803, 0, 1, 1
5995, 0, 2, 60, 63, 7821, 0, 1, 1
6010, 0, 0, 61, 64, 7835, 0, 1, 1
6031, 0, 1, 62, 64, 7856, 0, 1, 1
6046, 0, 1, 61, 64, 7871, 0, 1, 1
6056, 0, 0, 59, 63, 7888, 0, 1, 1
6077, 0, 0, 60, 63, 7905, 0, 1, 1
6092, 0, 0, 61, 66, 7923, 0, 1, 1
6112, 0, 0, 62, 65, 7936, 0, 1, 1
6122, 0, 1, 61, 64, 7956, 0, 1, 1
6142, 0, 0, 61, 63, 7970, 0, 1, 1
6158, 0, 0, 60, 62, 7993, 0, 1, 1
6173, 0, 0, 61, 65, 8005, 0, 1, 1
6194, 0, 0, 60, 63, 8022, 0, 1, 1
6214, 0, 0, 61, 63, 8037, 0, 1, 1
6230, 0, 0, 60, 64, 8052, 0, 1, 1
6245, 0, 0, 61, 61, 8072, 0, 1, 1
6260, 0, 0, 60, 64, 8089, 0, 1, 1
6281, 0, 0, 61, 64, 8102, 0, 1, 1
