Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition
123233, 2, 0, 1022, 0, 405, 0, 0
660, 0, 0, 1023, 0, 2501, 0, 0
675, 0, 0, 1021, 0, 2518, 0, 0
696, 0, 0, 1022, 0, 2535, 0, 0
716, 0, 0, 1022, 0, 2554, 0, 0
732, 0, 0, 1022, 0, 2570, 0, 0
742, 0, 0, 1022, 0, 2585, 0, 0
762, 0, 0, 1022, 0, 2601, 0, 0
778, 0, 0, 1022, 0, 2619, 0, 0
792, 0, 0, 1022, 0, 2635, 0, 0
813, 0, 0, 1023, 0, 2652, 0, 0
828, 0, 0, 1022, 0, 2669, 0, 0
843, 0, 0, 1021, 0, 2686, 0, 0
864, 0, 0, 1023, 0, 2702, 0, 0
879, 2, 0, 1022, 0, 2718, 0, 0
894, 0, 0, 1022, 0, 2735, 0, 0
910, 0, 0, 1022, 0, 2752, 0, 0
925, 0, 0, 1022, 0, 2769, 0, 0
946, 0, 0, 1022, 0, 2786, 0, 0
966, 0, 0, 1023, 0, 2803, 0, 0
976, 0, 0, 1023, 0, 2819, 0, 0
992, 0, 0, 1022, 0, 2835, 0, 0
1012, 0, 0, 1022, 0, 2853, 0, 0
1028, 0, 0, 1022, 0, 2868, 0, 0
1048, 0, 0, 1022, 0, 2885, 0, 0
1063, 0, 0, 1022, 0, 2902, 0, 0
1079, 0, 0, 1022, 0, 2919, 0, 0
1094, 0, 0, 1022, 0, 2937, 0, 0
1110, 0, 0, 1022, 0, 2953, 0, 0
1125, 0, 0, 1023, 0, 2968, 0, 0
1145, 0, 0, 1022, 0, 2986, 0, 0
1166, 0, 0, 1023, 0, 3003, 0, 0
1176, 0, 0, 5, 0, 3018, 0, 0
1191, 0, 0, 0, 0, 3034, 0, 0
1211, 0, 0, 0, 0, 3053, 0, 0
1226, 0, 0, 1022, 0, 3068, 0, 0
1247, 1, 0, 1021, 0, 3086, 0, 0
1263, 0, 0, 0, 0, 3102, 0, 0
