Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
27145, 225, 3, 0, 0, 457, 0, 0
829, 17, 1, 0, 0, 2717, 0, 0
849, 17, 2, 0, 0, 2732, 0, 0
899, 0, 1, 0, 0, 2790, 0, 0
919, 0, 1, 0, 0, 2804, 0, 0
939, 0, 0, 0, 0, 2823, 0, 0
953, 0, 0, 0, 0, 2839, 0, 0
968, 0, 0, 0, 0, 2853, 0, 0
988, 0, 0, 0, 0, 2871, 0, 0
1003, 0, 1, 0, 0, 2890, 0, 0
1018, 0, 0, 0, 0, 2906, 0, 0
1038, 0, 1, 0, 0, 2921, 0, 0
1053, 0, 1, 0, 0, 2937, 0, 0
1073, 0, 0, 0, 0, 2957, 0, 0
1083, 0, 1, 0, 0, 2972, 0, 0
1103, 0, 1, 0, 0, 2990, 0, 0
1118, 0, 0, 0, 0, 3005, 0, 0
1138, 0, 1, 0, 0, 3022, 0, 0
1153, 0, 1, 0, 0, 3040, 0, 0
1168, 0, 1, 0, 0, 3055, 0, 0
1188, 0, 1, 0, 0, 3073, 0, 0
1203, 0, 0, 0, 0, 3089, 0, 0
1218, 0, 1, 0, 0, 3107, 0, 0
1238, 0, 1, 0, 0, 3121, 0, 0
1253, 0, 1, 0, 0, 3138, 0, 0
1268, 0, 1, 0, 0, 3156, 0, 0
1288, 0, 1, 0, 0, 3172, 0, 0
1303, 0, 2, 0, 0, 3190, 0, 0
1318, 0, 2, 0, 0, 3204, 0, 0
1333, 0, 1, 0, 0, 3223, 0, 0
1353, 0, 1, 0, 0, 3240, 0, 0
1368, 0, 1, 0, 0, 3255, 0, 0
1383, 0, 1, 0, 0, 3273, 0, 0
1403, 11, 1, 0, 0, 3290, 0, 0
1423, 0, 2, 0, 0, 3306, 0, 0
1433, 0, 1, 0, 0, 3322, 0, 0
1454, 0, 2, 0, 0, 3337, 0, 0
1468, 0, 1, 0, 0, 3355, 0, 0
1488, 0, 1, 0, 0, 3372, 0, 0
1503, 2, 2, 0, 0, 3388, 0, 0
1518, 3, 1, 0, 0, 3407, 0, 0
1533, 2, 1, 0, 0, 3421, 0, 0
1553, 4, 1, 0, 0, 3437, 0, 0
1568, 1, 2, 0, 0, 3453, 0, 0
1584, 3, 1, 0, 0, 3473, 0, 0
1603, 3, 2, 0, 0, 3489, 0, 0
1618, 2, 1, 0, 0, 3504, 0, 0
1633, 3, 2, 0, 0, 3522, 0, 0
1653, 5, 1, 0, 0, 3540, 0, 0
1669, 6, 2, 0, 0, 3556, 0, 0
1688, 6, 1, 0, 0, 3572, 0, 0
1703, 6, 1, 0, 0, 3590, 0, 0
1714, 5, 1, 0, 0, 3604, 0, 0
1738, 6, 1, 0, 0, 3622, 0, 0
1754, 7, 1, 0, 0, 3637, 0, 0
1773, 7, 1, 0, 0, 3656, 0, 0
1783, 6, 2, 0, 0, 3672, 0, 0
1803, 7, 1, 0, 0, 3688, 0, 0
1818, 7, 2, 0, 0, 3706, 0, 0
1833, 6, 1, 0, 0, 3722, 0, 0
1853, 7, 2, 0, 0, 3740, 0, 0
1868, 7, 2, 0, 0, 3754, 0, 0
1884, 7, 1, 0, 0, 3772, 0, 0
1903, 7, 1, 0, 0, 3790, 0, 0
1918, 7, 1, 0, 0, 3805, 0, 0
1938, 7, 1, 0, 0, 3822, 0, 0
1948, 7, 2, 0, 0, 3837, 0, 0
1969, 7, 1, 0, 0, 3855, 0, 0
1988, 7, 1, 0, 0, 3873, 0, 0
2003, 7, 1, 0, 0, 3888, 0, 0
2018, 7, 1, 0, 0, 3904, 0, 0
2038, 7, 1, 0, 0, 3923, 0, 0
2054, 7, 1, 0, 0, 3937, 0, 0
2068, 7, 1, 0, 0, 3955, 0, 0
2083, 7, 1, 0, 0, 3973, 0, 0
2099, 7, 1, 0, 0, 3987, 0, 0
2118, 7, 2, 0, 0, 4004, 0, 0
2139, 7, 2, 0, 0, 4023, 0, 0
2153, 7, 1, 0, 0, 4039, 0, 0
2168, 6, 2, 0, 0, 4056, 0, 0
2188, 7, 2, 0, 0, 4071, 0, 0
2198, 5, 1, 0, 0, 4088, 0, 0
2219, 5, 1, 0, 0, 4105, 0, 0
2233, 8, 1, 0, 0, 4120, 0, 0
2253, 7, 2, 0, 0, 4139, 0, 0
2269, 24, 2, 0, 0, 4156, 0, 0
2284, 41, 1, 0, 0, 4173, 0, 0
2298, 43, 1, 0, 0, 4187, 0, 0
2319, 47, 3, 0, 0, 4205, 0, 0
2334, 51, 2, 0, 0, 4221, 0, 0
2350, 75, 2, 0, 0, 4239, 0, 0
2370, 86, 1, 0, 0, 4256, 0, 0
2384, 85, 2, 0, 0, 4273, 0, 0
2400, 81, 2, 0, 0, 4287, 0, 0
2420, 100, 2, 0, 0, 4305, 0, 0
2436, 108, 1, 0, 0, 4324, 0, 0
