Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
299687, 0, 1, 78, 73, 519, 0, 0, 0
1294, 0, 1, 78, 73, 3152, 0, 0, 0
1313, 0, 1, 78, 72, 3168, 0, 0, 0
1329, 0, 1, 79, 71, 3185, 0, 0, 0
1349, 0, 0, 77, 73, 3203, 0, 0, 0
1364, 0, 1, 78, 73, 3219, 0, 0, 0
1375, 0, 1, 78, 71, 3235, 0, 0, 0
1395, 0, 1, 78, 71, 3252, 0, 0, 0
1416, 0, 1, 78, 70, 3269, 0, 0, 0
1431, 0, 1, 78, 72, 3285, 0, 0, 0
1446, 0, 2, 79, 72, 3302, 0, 0, 0
1462, 0, 1, 79, 73, 3320, 0, 0, 0
1482, 0, 1, 78, 73, 3335, 0, 0, 0
1497, 0, 1, 78, 72, 3354, 0, 0, 0
1512, 0, 1, 79, 72, 3370, 0, 0, 0
1532, 0, 1, 78, 71, 3390, 0, 0, 0
1548, 0, 1, 79, 72, 3402, 0, 0, 0
1563, 0, 1, 78, 72, 3419, 0, 0, 0
1584, 0, 1, 78, 72, 3436, 0, 0, 0
1599, 0, 2, 77, 72, 3452, 0, 0, 0
1614, 0, 1, 78, 72, 3469, 0, 0, 0
1630, 0, 1, 77, 72, 3487, 0, 0, 0
1645, 0, 0, 78, 74, 3501, 0, 0, 0
1666, 0, 1, 78, 74, 3519, 0, 0, 0
1681, 0, 2, 78, 72, 3535, 0, 0, 0
1695, 0, 1, 78, 71, 3551, 0, 0, 0
1711, 0, 1, 77, 72, 3568, 0, 0, 0
1731, 0, 1, 78, 70, 3586, 0, 0, 0
1746, 0, 2, 79, 69, 3602, 0, 0, 0
1762, 0, 1, 78, 72, 3619, 0, 0, 0
1782, 0, 0, 78, 73, 3636, 0, 0, 0
1793, 0, 1, 78, 72, 3652, 0, 0, 0
1813, 0, 1, 78, 74, 3669, 0, 0, 0
1833, 0, 1, 79, 73, 3685, 0, 0, 0
1849, 0, 2, 80, 73, 3702, 0, 0, 0
1864, 0, 1, 79, 73, 3719, 0, 0, 0
1879, 0, 0, 79, 73, 3735, 0, 0, 0
1894, 0, 2, 78, 73, 3752, 0, 0, 0
1914, 0, 1, 77, 74, 3770, 0, 0, 0
1930, 0, 2, 79, 74, 3786, 0, 0, 0
1945, 0, 1, 78, 73, 3801, 0, 0, 0
1960, 0, 2, 79, 73, 3819, 0, 0, 0
1981, 0, 1, 78, 74, 3841, 0, 0, 0
1996, 0, 0, 78, 73, 3852, 0, 0, 0
2012, 0, 1, 78, 73, 3870, 0, 0, 0
2032, 0, 1, 79, 73, 3887, 0, 0, 0
2042, 0, 1, 78, 73, 3901, 0, 0, 0
2063, 0, 2, 79, 74, 3919, 0, 0, 0
2082, 0, 1, 78, 73, 3935, 0, 0, 0
2093, 0, 1, 79, 73, 3951, 0, 0, 0
2113, 0, 2, 78, 74, 3968, 0, 0, 0
2128, 0, 1, 80, 73, 3985, 0, 0, 0
2149, 0, 1, 78, 73, 4002, 0, 0, 0
2164, 0, 1, 79, 73, 4020, 0, 0, 0
2180, 0, 2, 78, 73, 4035, 0, 0, 0
2195, 0, 1, 78, 73, 4051, 0, 0, 0
2210, 0, 2, 78, 72, 4069, 0, 0, 0
2231, 0, 1, 79, 73, 4086, 0, 0, 0
2246, 0, 1, 80, 72, 4101, 0, 0, 0
2262, 0, 0, 79, 72, 4118, 0, 0, 0
2281, 0, 1, 79, 72, 4136, 0, 0, 0
