Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
1807, 0, 1, 43, 55, 581, 0, 0, 0
2031, 0, 1, 41, 53, 3899, 0, 0, 0
2097, 0, 1, 42, 51, 3962, 0, 0, 0
2112, 0, 1, 42, 51, 3980, 0, 0, 0
2127, 0, 1, 43, 51, 3996, 0, 0, 0
2143, 0, 1, 43, 52, 4013, 0, 0, 0
2163, 0, 2, 43, 51, 4030, 0, 0, 0
2184, 0, 1, 43, 54, 4048, 0, 0, 0
2194, 0, 1, 42, 55, 4064, 0, 0, 0
2209, 0, 1, 42, 54, 4079, 0, 0, 0
2224, 0, 1, 42, 55, 4096, 0, 0, 0
2259, 0, 1, 42, 54, 4129, 0, 0, 0
2265, 0, 1, 43, 54, 4133, 0, 0, 0
2285, 0, 1, 42, 56, 4152, 0, 0, 0
2300, 0, 1, 42, 54, 4167, 0, 0, 0
2316, 0, 1, 43, 54, 4186, 0, 0, 0
2331, 0, 1, 42, 54, 4201, 0, 0, 0
2352, 0, 1, 42, 56, 4219, 0, 0, 0
2367, 0, 0, 43, 54, 4233, 0, 0, 0
2382, 0, 1, 44, 56, 4251, 0, 0, 0
2397, 0, 1, 42, 57, 4267, 0, 0, 0
2417, 0, 1, 43, 56, 4285, 0, 0, 0
2433, 0, 1, 43, 56, 4301, 0, 0, 0
2448, 0, 2, 43, 55, 4317, 0, 0, 0
2468, 0, 1, 42, 56, 4335, 0, 0, 0
2484, 0, 1, 42, 55, 4350, 0, 0, 0
2499, 0, 1, 43, 56, 4367, 0, 0, 0
2520, 0, 1, 43, 57, 4384, 0, 0, 0
2535, 0, 1, 43, 53, 4403, 0, 0, 0
2550, 0, 1, 44, 54, 4417, 0, 0, 0
2566, 0, 1, 43, 56, 4436, 0, 0, 0
2580, 0, 1, 42, 57, 4451, 0, 0, 0
2600, 0, 1, 43, 57, 4469, 0, 0, 0
2616, 0, 2, 42, 53, 4483, 0, 0, 0
2636, 0, 0, 43, 52, 4504, 0, 0, 0
2647, 0, 1, 43, 52, 4517, 0, 0, 0
2667, 0, 1, 43, 51, 4536, 0, 0, 0
2688, 0, 1, 43, 52, 4551, 0, 0, 0
2703, 0, 1, 44, 52, 4567, 0, 0, 0
2718, 0, 1, 43, 52, 4586, 0, 0, 0
2728, 0, 1, 43, 51, 4600, 0, 0, 0
2749, 0, 1, 43, 52, 4617, 0, 0, 0
2768, 0, 2, 43, 53, 4635, 0, 0, 0
2784, 0, 1, 43, 52, 4650, 0, 0, 0
2799, 0, 2, 43, 52, 4669, 0, 0, 0
2814, 0, 1, 43, 52, 4683, 0, 0, 0
2830, 0, 1, 42, 52, 4701, 0, 0, 0
2850, 0, 1, 43, 53, 4718, 0, 0, 0
2866, 0, 1, 42, 53, 4735, 0, 0, 0
2881, 0, 1, 41, 52, 4751, 0, 0, 0
2902, 0, 1, 42, 52, 4769, 0, 0, 0
2917, 0, 1, 42, 52, 4787, 0, 0, 0
2931, 0, 1, 41, 52, 4802, 0, 0, 0
2952, 0, 1, 41, 52, 4817, 0, 0, 0
2967, 0, 2, 41, 52, 4833, 0, 0, 0
2982, 0, 2, 41, 52, 4853, 0, 0, 0
2998, 0, 1, 41, 53, 4868, 0, 0, 0
3018, 0, 1, 42, 53, 4885, 0, 0, 0
3034, 880, 1, 41, 52, 4902, 0, 0, 0
3049, 1000, 1, 42, 55, 4918, 0, 0, 0
3065, 984, 3, 42, 54, 4935, 0, 0, 0
3081, 989, 2, 40, 53, 4951, 0, 0, 0
3096, 989, 1, 41, 54, 4968, 0, 0, 0
3118, 1020, 2, 40, 56, 4986, 0, 0, 0
3133, 988, 2, 39, 53, 5000, 0, 0, 0
3148, 987, 2, 40, 54, 5017, 0, 0, 0
3164, 1018, 2, 40, 53, 5034, 0, 0, 0
3185, 909, 2, 41, 51, 5051, 0, 0, 0
3195, 1017, 2, 38, 54, 5069, 0, 0, 0
3211, 980, 1, 39, 55, 5083, 0, 0, 0
3232, 992, 6, 36, 54, 5102, 0, 0, 0
3248, 1012, 1, 39, 53, 5119, 0, 0, 0
3268, 1016, 1, 36, 53, 5135, 0, 0, 0
3284, 997, 1, 38, 53, 5150, 0, 0, 0
3300, 1014, 1, 34, 51, 5168, 0, 0, 0
3310, 999, 1, 35, 51, 5183, 0, 0, 0
3331, 924, 2, 38, 50, 5201, 0, 0, 0
3347, 975, 1, 35, 52, 5218, 0, 0, 0
3362, 972, 1, 37, 52, 5235, 0, 0, 0
3383, 980, 1, 35, 53, 5250, 0, 0, 0
3399, 917, 1, 37, 55, 5268, 0, 0, 0
3420, 943, 1, 37, 57, 5286, 0, 0, 0
3435, 1014, 2, 39, 59, 5303, 0, 0, 0
3451, 1014, 2, 38, 54, 5319, 0, 0, 0
3467, 1014, 1, 38, 60, 5334, 0, 0, 0
3482, 1008, 1, 37, 61, 5351, 0, 0, 0
3499, 903, 2, 35, 55, 5368, 0, 0, 0
3514, 1018, 1, 38, 55, 5386, 0, 0, 0
3529, 1010, 1, 37, 56, 5401, 0, 0, 0
3551, 994, 1, 42, 56, 5417, 0, 0, 0
3566, 886, 2, 45, 55, 5433, 0, 0, 0
3581, 952, 0, 44, 56, 5452, 0, 0, 0
3597, 959, 3, 41, 55, 5467, 0, 0, 0
3618, 0, 1, 39, 55, 5487, 0, 0, 0
3629, 0, 0, 38, 54, 5501, 0, 0, 0
3648, 0, 2, 38, 53, 5517, 0, 0, 0
3668, 0, 1, 38, 53, 5535, 0, 0, 0
3684, 0, 1, 37, 54, 5552, 0, 0, 0
3699, 0, 1, 37, 55, 5569, 0, 0, 0
3715, 0, 1, 38, 53, 5584, 0, 0, 0
3735, 0, 1, 37, 53, 5600, 0, 0, 0
3750, 0, 1, 39, 52, 5617, 0, 0, 0
3766, 0, 1, 38, 53, 5634, 0, 0, 0
3781, 0, 1, 37, 53, 5652, 0, 0, 0
3796, 0, 0, 39, 55, 5667, 0, 0, 0
3817, 0, 1, 39, 54, 5686, 0, 0, 0
3832, 0, 1, 40, 55, 5701, 0, 0, 0
3847, 0, 1, 40, 53, 5717, 0, 0, 0
3862, 0, 1, 41, 53, 5734, 0, 0, 0
3883, 0, 1, 40, 52, 5753, 0, 0, 0
3898, 0, 1, 41, 51, 5767, 0, 0, 0
3918, 0, 1, 40, 51, 5787, 0, 0, 0
