Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition
5554, 327, 0, 0, 0, 7423, 0, 0
5569, 349, 0, 0, 0, 7441, 0, 0
5584, 373, 0, 0, 0, 7457, 0, 0
5605, 400, 0, 0, 0, 7476, 0, 0
5615, 410, 0, 0, 0, 7491, 0, 0
5636, 429, 0, 0, 0, 7507, 0, 0
5656, 446, 0, 0, 0, 7523, 0, 0
5666, 454, 0, 0, 0, 7540, 0, 0
5687, 468, 0, 0, 0, 7556, 0, 0
5702, 470, 0, 0, 0, 7574, 0, 0
5718, 468, 0, 0, 0, 7591, 0, 0
5738, 475, 0, 0, 0, 7607, 0, 0
5753, 483, 0, 0, 0, 7623, 0, 0
5774, 487, 0, 0, 0, 7641, 0, 0
5784, 486, 0, 0, 0, 7657, 0, 0
5799, 492, 0, 0, 0, 7674, 0, 0
5820, 498, 0, 0, 0, 7690, 0, 0
5835, 527, 0, 0, 0, 7706, 0, 0
5851, 596, 0, 0, 0, 7724, 0, 0
5871, 665, 0, 0, 0, 7743, 0, 0
5886, 689, 0, 0, 0, 7757, 0, 0
5902, 705, 0, 0, 0, 7774, 0, 0
5922, 724, 0, 0, 0, 7793, 0, 0
5938, 731, 0, 0, 0, 7806, 0, 0
5958, 746, 0, 0, 0, 7826, 0, 0
5968, 753, 0, 0, 0, 7840, 0, 0
5984, 759, 0, 0, 0, 7858, 0, 0
6004, 771, 0, 0, 0, 7873, 0, 0
6020, 772, 0, 13, 0, 7893, 0, 0
6035, 774, 0, 22, 0, 7906, 0, 0
6050, 771, 0, 8, 0, 7925, 0, 0
6066, 766, 0, 11, 0, 7940, 0, 0
6086, 754, 0, 5, 0, 7956, 0, 0
6102, 736, 0, 0, 0, 7973, 0, 0
6122, 690, 0, 0, 0, 7991, 0, 0
6137, 614, 0, 0, 0, 8006, 0, 0
6153, 463, 0, 8, 0, 8023, 0, 0
6168, 214, 0, 0, 0, 8041, 0, 0
6189, 47, 0, 0, 0, 8057, 0, 0
6204, 3, 0, 30, 0, 8076, 0, 0
6219, 0, 0, 31, 0, 8090, 0, 0
6234, 0, 0, 0, 0, 8107, 0, 0
6254, 0, 0, 21, 0, 8123, 0, 0
6269, 0, 0, 0, 0, 8140, 0, 0
6285, 0, 0, 24, 0, 8158, 0, 0
6299, 0, 0, 34, 0, 8173, 0, 0
6320, 0, 0, 27, 0, 8190, 0, 0
6335, 0, 0, 18, 0, 8207, 0, 0
6354, 0, 0, 22, 0, 8225, 0, 0
6365, 0, 0, 15, 0, 8240, 0, 0
6385, 0, 0, 5, 0, 8257, 0, 0
6405, 0, 0, 2, 0, 8274, 0, 0
6420, 0, 0, 58, 0, 8290, 0, 0
6435, 0, 0, 8, 0, 8308, 0, 0
6455, 0, 0, 8, 0, 8324, 0, 0
6470, 0, 0, 0, 0, 8341, 0, 0
6486, 0, 0, 21, 0, 8358, 0, 0
6501, 0, 0, 64, 0, 8379, 0, 0
6520, 0, 0, 67, 0, 8390, 0, 0
6536, 0, 0, 12, 0, 8407, 0, 0
6556, 0, 0, 13, 0, 8426, 0, 0
6571, 0, 0, 18, 0, 8442, 0, 0
6586, 0, 0, 8, 0, 8457, 0, 0
6606, 0, 0, 23, 0, 8474, 0, 0
6622, 0, 0, 82, 0, 8491, 0, 0
6636, 0, 0, 35, 0, 8508, 0, 0
6651, 0, 0, 0, 0, 8524, 0, 0
6672, 0, 0, 0, 0, 8540, 0, 0
6687, 0, 0, 4, 0, 8557, 0, 0
